date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,outcome,winner_seed,loser_seed,loser_entry
1977-08-31,US Open,G,5,C,false,F,Guillermo Vilas,Argentina,ARG,4,17,2383,Jimmy Connors,United States,USA,1,-17,2410,2-6 6-3 7-6 6-0,,4,2,
1977-08-31,US Open,G,5,C,false,SF,Guillermo Vilas,Argentina,ARG,4,8,2375,Harold Solomon,United States,USA,12,-8,2194,6-2 7-6 6-2,,4,12,
1977-08-31,US Open,G,5,C,false,QF,Guillermo Vilas,Argentina,ARG,4,3,2372,Raymond Moore,South Africa,RSA,45,-3,1998,6-1 6-1 6-0,,4,,
1977-08-31,US Open,G,3,C,false,R16,Guillermo Vilas,Argentina,ARG,4,3,2369,Jose Higueras,Spain,ESP,35,-3,2032,6-3 6-1,,4,,
1977-08-31,US Open,G,3,C,false,R32,Guillermo Vilas,Argentina,ARG,4,1,2368,Victor Amaya,United States,USA,99,-1,1847,6-3 6-3,,4,,
1977-08-31,US Open,G,3,C,false,R64,Guillermo Vilas,Argentina,ARG,4,1,2367,Gene Mayer,United States,USA,89,-2,1837,6-3 6-0,,4,,
1977-08-31,US Open,G,3,C,false,R128,Guillermo Vilas,Argentina,ARG,4,1,2366,Manuel Santana,Spain,ESP,234,-2,1874,6-1 6-0,,4,,
1977-08-08,Columbus,B,3,C,false,F,Guillermo Vilas,Argentina,ARG,4,8,2358,Brian Gottfried,United States,USA,3,-8,2283,6-2 6-1,,2,1,
1977-08-08,Columbus,B,3,C,false,SF,Guillermo Vilas,Argentina,ARG,4,2,2356,Billy Martin,United States,USA,81,-1,1955,6-0 6-2,,2,,
1977-08-08,Columbus,B,3,C,false,QF,Guillermo Vilas,Argentina,ARG,4,1,2355,Tim Gullikson,United States,USA,54,-2,1990,6-4 6-4,,2,,
1977-08-08,Columbus,B,3,C,false,R16,Guillermo Vilas,Argentina,ARG,4,2,2353,Brian Fairlie,New Zealand,NZL,42,-1,1940,6-3 6-1,,2,,
1977-08-08,Columbus,B,3,C,false,R32,Guillermo Vilas,Argentina,ARG,4,1,2352,Nicola Spear,Serbia,SRB,71,-1,1820,6-4 6-2,,2,,
1977-08-08,Columbus,B,3,C,false,R64,Guillermo Vilas,Argentina,ARG,4,,2352,Keith Richardson,United States,USA,89,-1,1672,7-6 7-5,,2,,
1977-07-31,South Orange,B,3,C,false,F,Guillermo Vilas,Argentina,ARG,4,4,2348,Roscoe Tanner,United States,USA,13,-4,2100,6-4 6-1,,1,2,
1977-07-31,South Orange,B,3,C,false,SF,Guillermo Vilas,Argentina,ARG,4,1,2347,John McEnroe,United States,USA,55,-2,1914,6-2 2-6 6-0,,1,,
1977-07-31,South Orange,B,3,C,false,QF,Guillermo Vilas,Argentina,ARG,4,3,2344,Jeff Borowiak,United States,USA,33,-3,2033,6-3 7-5,,1,,
1977-07-31,South Orange,B,3,C,false,R16,Guillermo Vilas,Argentina,ARG,4,,2344,Peter Fleming,United States,USA,63,-1,1860,6-1 6-7 6-1,,1,,
1977-07-31,South Orange,B,3,C,false,R32,Guillermo Vilas,Argentina,ARG,4,2,2342,Colin Dibley,Australia,AUS,40,-2,1966,6-4 6-1,,1,,
1977-07-25,Louisville,B,3,C,false,F,Guillermo Vilas,Argentina,ARG,4,7,2335,Eddie Dibbs,United States,USA,12,-7,2208,1-6 6-0 6-1,,1,2,
1977-07-25,Louisville,B,3,C,false,SF,Guillermo Vilas,Argentina,ARG,4,3,2332,Phil Dent,Australia,AUS,26,-3,2062,5-7 6-2 6-1,,1,,
1977-07-25,Louisville,B,3,C,false,QF,Guillermo Vilas,Argentina,ARG,4,1,2331,Ion Tiriac,Romania,ROU,173,-1,1813,6-0 6-1,,1,,
1977-07-25,Louisville,B,3,C,false,R16,Guillermo Vilas,Argentina,ARG,4,1,2330,Brian Fairlie,New Zealand,NZL,42,-1,1928,6-4 6-2,,1,,
1977-07-25,Louisville,B,3,C,false,R32,Guillermo Vilas,Argentina,ARG,4,2,2328,Tim Gullikson,United States,USA,54,-3,1973,6-3 6-3,,1,,
1977-07-25,Louisville,B,3,C,false,R64,Guillermo Vilas,Argentina,ARG,4,1,2327,Frank Gebert,Germany,GER,79,-1,1807,4-6 6-2 6-3,,1,,
1977-07-18,Washington,A,3,C,false,F,Guillermo Vilas,Argentina,ARG,4,10,2317,Brian Gottfried,United States,USA,3,-10,2285,6-4 7-5,,1,2,
1977-07-18,Washington,A,3,C,false,SF,Guillermo Vilas,Argentina,ARG,4,6,2311,Eddie Dibbs,United States,USA,10,-6,2204,7-6 6-2,,1,,
1977-07-18,Washington,A,3,C,false,QF,Guillermo Vilas,Argentina,ARG,4,2,2309,Ricardo Cano,Argentina,ARG,77,-2,1924,6-2 6-3,,1,,
1977-07-18,Washington,A,3,C,false,R16,Guillermo Vilas,Argentina,ARG,4,2,2307,Victor Pecci,Paraguay,PAR,36,-2,1942,6-3 6-7 6-1,,1,,
1977-07-18,Washington,A,3,C,false,R32,Guillermo Vilas,Argentina,ARG,4,1,2306,Van Winitsky,United States,USA,228,-1,1757,6-4 6-1,,1,,
1977-07-18,Washington,A,3,C,false,R64,Guillermo Vilas,Argentina,ARG,4,,2306,Larry Gottfried,United States,USA,228,-2,1654,6-2 6-4,,1,,Q
1977-07-11,Kitzbuhel,B,5,C,false,F,Guillermo Vilas,Argentina,ARG,4,5,2301,Jan Kodes,Czech Republic,CZE,28,-5,2079,5-7 6-2 4-6 6-3 6-2,,1,,
1977-07-11,Kitzbuhel,B,3,C,false,SF,Guillermo Vilas,Argentina,ARG,4,4,2297,Zeljko Franulovic,Croatia,CRO,32,-4,2047,6-2 7-5,,1,,
1977-07-11,Kitzbuhel,B,3,C,false,QF,Guillermo Vilas,Argentina,ARG,4,3,2294,Buster C Mottram,United Kingdom,GBR,27,-4,2049,6-4 6-1,,1,,
1977-07-11,Kitzbuhel,B,3,C,false,R16,Guillermo Vilas,Argentina,ARG,4,,2294,Ramiro Benavides,"Bolivia, Plurinational State of",BOL,147,-2,1687,6-1 6-3,,1,,
1977-07-11,Kitzbuhel,B,3,C,false,R32,Guillermo Vilas,Argentina,ARG,4,1,2293,Alvin Gardiner,Australia,AUS,167,-2,1483,7-5 6-3,,1,,
